Bucket Name,Size Standard (TB),Size IA (TB)
nfl-datalake-refinedzone,243.1747755,110.5608698
nfl-datalake-customer-zone,176.7441741,
nfl-datalake-rawzone,123.3531582,23.01376415
nfl-datalake-dropzone,91.67610711,
aws-athena-query-results-574179717609-us-east-1,89.83227261,
nfl-datalake-curatedzone,74.78996819,24.1019365
nfl-alacrity-matching,68.06939856,13.44255178
nfl-datalake-archivezone,31.34702245,12.27733053
nfl-datalake-vendor-dropzone,25.21842942,11.93393902
nfl-vendor-aep-bucket,21.49055419,
prod-nfl-fcm-matching-result,20.53284386,
nfl-dataiku-athena-output,17.40837257,
nfl-acxiom-matching,14.38363247,
nfl-prod-azure-fan,12.99582519,
exl-custom-fcm-analytics,9.594811263,
nfl-data-bi-syslogs,8.829393441,
nfl-etl-scripts,8.475048363,20.47675871
aws-glue-assets-574179717609-us-east-1,6.380959361,
nfl-datalake-glue-temp,4.622285536,56.73933009
ops-s3-logging,4.420781837,
nfl-fcm-dropzone,3.975320286,
vz-prod,3.411621979,
nfl-backups-sql,3.175649428,
nfl-data-bi-cloudtrail,3.064691029,
discovery-team-scratch-ticketing-574179717609,2.615304909,
nfl-datalake-tm-sales,2.568063446,
nfl-datalake-backup,2.241120439,11.89819339
nfl-zs-query-output-bucket,1.345111997,
nfl-athena-output-prod,1.297190938,
nfl-dcr-prod-collaboration-zone,1.000422562,
