Bucket Name,Size Standard (TB)
nfl-sandbox-datalake-refinedzone,28.11559481
nfl-sandbox-dia-ticketing,26.29933114
nfl-sandbox-datalake-curatedzone,17.65720564
nfl-sandbox-datalake-customer-zone,14.61498019
nfl-sandbox-datalake-dropzone,9.101700923
aws-athena-query-results-399450685648-us-east-1,8.634819762
nfl-sandbox-alacrity-matching,4.929894866
nfl-sandbox-datalake-vendor-dropzone,4.049460375
nfl-sandbox-datalake-rawzone,2.268659653
nfl-athena-output-sand,2.17521485
nfl-sandbox-datalake-archivezone,2.04689919
nfl-sandbox-alacrity-playground,1.739788487
nfl-sand-bucket-49ers,1.576050521
aws-glue-assets-399450685648-us-east-1,1.237536443
