JobName,RunId,StartTime,EndTime,DPUHours,NumberOfWorkers,WorkerType,ExecutionClass
AEP,jr_df34676063a4fe1a3167429de7cfec18b66ad31ed8f85ac644ef59842cc8f57c,2023-12-08 07:50:26.288000-05:00,2023-12-08 07:51:44.260000-05:00,386.0,5,G.2X,STANDARD
AEP,jr_65d7a9bbfd6a32767917edf0bde016419e4c2c386cb385c71dea7845ae19d054,2023-12-08 07:48:35.387000-05:00,2023-12-08 07:50:54.983000-05:00,750.0,5,G.2X,STANDARD
AEP,jr_e495590b533886ef2ea96908aa39428fc9561b01293c8dda6ec0695aa5ee797f,2023-12-08 07:47:35.585000-05:00,2023-12-08 07:53:28.910000-05:00,3052.0,5,G.2X,STANDARD
AEP,jr_a71b39abf70ed437c73b60d10c4b913eb931cce7851068b6cd5ee94a0c5a52ac,2023-12-08 07:46:05.456000-05:00,2023-12-08 07:51:06.337000-05:00,2324.0,5,G.2X,STANDARD
AEP,jr_c3ff42849c8a7e964dc222f973c389335b4f9afd843437ae981897a07e63811c,2023-12-08 07:43:22.789000-05:00,2023-12-08 07:49:35.595000-05:00,3330.0,5,G.2X,STANDARD
AEP,jr_c1a3a2ed734aca93ad813888b8dffdbf537610ead459454df83f7615723e200e,2023-12-08 07:41:03.419000-05:00,2023-12-08 07:44:49.577000-05:00,1828.0,5,G.2X,STANDARD
AEP,jr_364213bccf2dd0ef08447740b22fee2cc26bdc31cc5a49724ed066332deea79b,2023-12-08 07:40:08.530000-05:00,2023-12-08 07:44:07.211000-05:00,1744.0,5,G.2X,STANDARD
AEP,jr_5b71271d3ae4d914e7d460871e62d3cb5227ab9c33041305a2c8bb969b97bc14,2023-12-08 07:38:04.184000-05:00,2023-12-08 07:58:09.355000-05:00,8658.0,5,G.2X,STANDARD
AEP,jr_02f3aba484497c99a2a2abf91ad644a1507be16e86669517fce5fb10d8f7c61c,2023-12-08 07:36:51.716000-05:00,2023-12-08 07:39:10.500000-05:00,412.0,5,G.2X,STANDARD
AEP,jr_0ca66360d297ca5aaaf746c7d77e8f0c0ab436dde78d0ae4b30c6c9137b63ce1,2023-12-08 07:35:29.208000-05:00,2023-12-08 07:41:02.574000-05:00,2576.0,5,G.2X,STANDARD
AEP,jr_c8b22daa963efd1d36e3faeefce8d4e64d3c05c19f9cbf9efe1b103b6c6a53b4,2023-12-07 07:42:18.911000-05:00,2023-12-07 08:01:58.604000-05:00,8574.0,5,G.2X,STANDARD
AEP,jr_100f197c1abb9be83ec371a4f5701ccb1010ebcd4af6965a809446c77b8e9971,2023-12-07 07:30:53.466000-05:00,2023-12-07 07:34:21.983000-05:00,806.0,5,G.2X,STANDARD
AEP,jr_01fe2ef18e86ef7383868dd0bd90076442a0cd2103d6a4c1c11dee9fbabd5e6d,2023-12-07 07:29:23.899000-05:00,2023-12-07 07:33:30.527000-05:00,1874.0,5,G.2X,STANDARD
AEP,jr_0e13c2796344533a890562196b0f323be75e8bb672b1c667e7e7221b932d056a,2023-12-07 07:28:31.671000-05:00,2023-12-07 07:32:42.111000-05:00,1448.0,5,G.2X,STANDARD
AEP,jr_4dffa7bc9d6b82b155eb5eba9b72cfc9760b1b8822a8e1d56890cb986012f6ee,2023-12-07 07:27:05.228000-05:00,2023-12-07 07:47:21.571000-05:00,8676.0,5,G.2X,STANDARD
AEP,jr_2519bb431d23e65f0bc2db41e7c6bd830497d57cd7deb2b925fbb98c2c53309c,2023-12-07 07:26:22.976000-05:00,2023-12-07 07:28:03.261000-05:00,288.0,5,G.2X,STANDARD
AEP,jr_0b03aa5200edcb96ffce092c345bead6d90b596e7b5acf813df25ff84cfdfbc4,2023-12-07 07:25:24.938000-05:00,2023-12-07 07:30:11.882000-05:00,2548.0,5,G.2X,STANDARD
AEP,jr_3324cd726c9371dd424245ed34b42580d641841cfdab37ef155cc1deeefe5d3b,2023-12-07 07:21:50.055000-05:00,2023-12-07 07:23:49.377000-05:00,422.0,5,G.2X,STANDARD
AEP,jr_74591282c2aed506141c9f0a295e687f4dd6af7772bdeb691bdc3f6420345a02,2023-12-07 07:20:45.289000-05:00,2023-12-07 07:27:21.149000-05:00,3008.0,5,G.2X,STANDARD
